ticker,early_ai,lit_score,reasoning
BB,10.0,28,"Per Eloundou et al., BlackBerry's core value lies in real-time cybersecurity infrastructure, endpoint protection, embedded vehicle systems, and encryption—tasks requiring specialized tools, real-time threat detection, and deep hardware/software integration that classify as E0 (no direct LLM exposure); Acemoglu & Restrepo would categorize this as non-automatable due to complex security judgment and physical-world IoT coordination, with only peripheral documentation or reporting tasks potentially LLM-suitable per Brynjolfsson."
BLZE,10.0,22,"Per Eloundou et al., cloud infrastructure requiring real-time data management, physical hardware orchestration, and security monitoring is E0 (no LLM exposure); Backblaze's core value derives from managing 2 exabytes of physical storage infrastructure, proprietary purpose-built software controlling commodity hardware, and providing durable/scalable/secure data availability—tasks requiring real-time system coordination and physical world management that LLMs cannot replicate, though peripheral marketing/documentation functions have some E1 exposure."
BKYI,10.0,25,"Per Eloundou et al., BIO-key's core value derives from real-time biometric authentication infrastructure, fingerprint scanner hardware integration, and security enforcement systems—classic E0 tasks requiring physical world interaction, specialized security tools, and real-time data processing that LLMs cannot replicate; while some documentation or customer communication could be LLM-assisted, the identity verification, cryptographic security, and hardware-software integration that constitute their competitive moat are non-automatable per Acemoglu & Restrepo's framework."
BAND,10.0,28,"Per Eloundou et al., Bandwidth's core value is E0—real-time telecommunications infrastructure, global network ownership across 60+ countries, and mission-critical voice/emergency services requiring physical network assets and low-latency routing that LLMs cannot replicate; while their APIs enable text messaging (E1 component), the foundational value is non-automatable telecom infrastructure per Acemoglu & Restrepo's criteria for physical world coordination and real-time system operation."
AWRE,10.0,35,"Per Eloundou et al., biometric authentication requires specialized algorithms, proprietary training data, and real-time hardware integration (fingerprint/iris sensors) that LLMs cannot replicate; per Acemoglu & Restrepo, the core value lies in non-automatable complex technical judgment around security-critical identity verification systems with deep system integration to government databases and physical capture devices, placing this firmly in E0 territory despite some peripheral documentation tasks being LLM-suitable."
ALKT,10.0,28,"Per Acemoglu & Restrepo, Alkami's core value lies in non-automatable deep system integrations (230+ real-time connections to core banking, payment, fraud systems), proprietary multi-tenant cloud architecture, and regulated financial infrastructure requiring specialized domain expertise and complex judgment—tasks Eloundou et al. classify as E0 with minimal LLM exposure since they depend on real-time data processing, security compliance, and physical banking system coordination rather than text generation."
DDOG,10.0,18,"Per Eloundou et al., Datadog's core value proposition—real-time infrastructure monitoring, APM, log management, security threat detection, and network performance monitoring—requires continuous ingestion of live telemetry data, deep integration with hundreds of proprietary cloud systems, and physical network device monitoring, placing it firmly in E0 territory where LLMs cannot reduce task time because the work involves real-time data streams, specialized tooling, and complex system integration rather than text generation or document processing."
DT,10.0,28,"Per Eloundou et al., Dynatrace's core value lies in E0 tasks: real-time infrastructure monitoring, continuous runtime security, and automated anomaly detection across hybrid cloud environments requiring deep system integration, proprietary agent deployment (OneAgent), and millisecond-precision observability—all requiring specialized tools, real-time data processing, and physical/virtual infrastructure interaction that LLMs cannot replicate; while their Davis AI engine performs some classification tasks, the platform's value derives from non-automatable deep technical instrumentation and live telemetry processing per Acemoglu & Restrepo's framework."
DOCN,10.0,18,"Per Eloundou et al., DigitalOcean's core value is real-time cloud infrastructure (compute, storage, networking, virtual machines) - classic E0 tasks requiring physical data centers, hardware management, network reliability, and security that LLMs cannot replicate; while they have documentation/tutorials (E1), the actual infrastructure platform delivering on-demand computing resources falls squarely in Acemoglu's non-automatable category requiring physical world coordination and specialized systems."
NET,10.0,18,"Per Eloundou et al., Cloudflare's core value derives from physical network infrastructure (250+ cities, 10,000+ network interconnections), real-time traffic routing, DDoS mitigation, and hardware-software integration—classic E0 tasks requiring physical world coordination and real-time data processing that LLMs cannot replicate; Acemoglu & Restrepo would classify this as non-automatable due to complex system judgment and physical network dependencies."
S,10.0,22,"Per Eloundou et al., real-time threat detection/response requiring millisecond autonomous action on endpoints represents E0 tasks where LLMs cannot substitute for specialized ML models operating at machine speed; Acemoglu & Restrepo classify this as non-automatable due to real-time adaptation requirements, proprietary behavioral AI models processing petabytes of endpoint telemetry, and deep system integration with security infrastructure that LLMs cannot replicate."
EVTC,10.0,25,"Per Eloundou et al., payment processing infrastructure requires real-time transaction authorization, security compliance, and physical network integration—classic E0 tasks where LLMs cannot reduce time >50%; Acemoglu & Restrepo classify financial transaction systems as non-automatable due to regulatory compliance requirements, deep system integration with banking networks, and complex fraud detection judgment; core value lies in secure, real-time payment rails and regulatory-compliant infrastructure rather than text/document tasks."
FSLY,10.0,15,"Per Eloundou et al.'s E0 classification, Fastly's core value proposition—real-time edge computing infrastructure, CDN delivery, DDoS protection, and sub-millisecond network latency optimization—requires physical hardware (184 terabit network across 71 POPs), real-time data processing, and specialized infrastructure that LLMs cannot replicate; Acemoglu & Restrepo would classify this as non-automatable due to physical world dependencies and complex system integration requirements."
RBBN,10.0,25,"Per Eloundou et al., Ribbon's core value derives from real-time telecommunications infrastructure (VoIP, optical transport, IP networking hardware) requiring physical network equipment, low-latency data transmission, and deep system integration—classic E0 tasks with no LLM exposure; while they mention analytics/ML capabilities, the fundamental business of secure high-performance network routing, hardware switching, and carrier-grade reliability involves non-automatable physical world coordination per Acemoglu & Restrepo."
QTWO,10.0,28,"Per Eloundou et al., Q2's core value lies in E0 tasks: real-time secure transaction processing (4B+ logins, $2T+ transactions annually), regulatory compliance infrastructure for financial institutions, and deep system integrations with banking cores—all requiring specialized tools, real-time data handling, and complex security that LLMs cannot replicate; while some peripheral tasks like document generation may be E1, the platform's essential value is non-automatable per Acemoglu's framework due to critical infrastructure dependencies and regulatory judgment requirements."
MDB,10.0,18,"Per Eloundou et al., MongoDB's core value is real-time database infrastructure requiring physical hardware coordination, distributed systems management, and low-latency data processing—classified as E0 tasks with no LLM exposure; Acemoglu & Restrepo would categorize database engine performance, ACID compliance, and distributed consensus algorithms as non-automatable specialized technical systems requiring deep integration rather than codifiable cognitive tasks that LLMs could replicate."
MQ,10.0,18,"Per Eloundou et al., Marqeta's core value is real-time payment infrastructure requiring instant transaction authorization, JIT funding, card network integrations, and secure financial processing—all E0 tasks involving physical-world money movement, specialized regulatory compliance, and real-time system coordination that LLMs cannot replicate; per Acemoglu & Restrepo, payment processing requires complex judgment around fraud detection and non-automatable integration with banking/card network systems."
PDFS,10.0,28,"Per Acemoglu & Restrepo, PDF Solutions' core value lies in non-automatable tasks: proprietary hardware measurement tools, deep semiconductor fab integration, real-time equipment connectivity, and specialized ML/AI algorithms trained on highly proprietary manufacturing data requiring physical-world interaction with chip fabrication processes—classic E0 characteristics where LLMs cannot replicate domain-specific yield optimization requiring decades of process engineering expertise and real-time factory floor data."
ZS,10.0,15,"Per Eloundou et al., Zscaler's core value proposition—real-time network security inspection, zero-trust policy enforcement, and distributed cloud infrastructure protecting enterprise traffic—constitutes pure E0 tasks requiring millisecond-level threat detection, deep packet inspection, and physical network infrastructure that LLMs cannot replicate; Acemoglu & Restrepo classify such real-time security enforcement and hardware-integrated infrastructure as non-automatable due to complex judgment and system-level coordination requirements."
SSTI,5.0,18,"Per Eloundou et al., this is pure E0: ShotSpotter's core value derives from proprietary acoustic sensor hardware networks, real-time physical world detection of gunshots, specialized signal processing algorithms trained on gunfire acoustics, and IoT infrastructure deployment across geographic areas—all requiring physical sensors, real-time data processing, and specialized non-text domain expertise that LLMs cannot replicate; while ShotSpotter Investigate offers some document/case management (E1), this is ancillary to the irreplaceable hardware-sensor-detection core."
DUOT,5.0,18,"Per Eloundou et al.'s E0 criteria, DUOS's core value derives from physical-world machine vision hardware (optical, laser, speed sensors), real-time railcar inspection of moving objects, and proprietary AI algorithms trained on specialized industrial imagery—all requiring physical infrastructure deployment, hardware-software integration, and domain-specific engineering expertise that LLMs cannot replicate; the 'human in the loop' mechanical engineering judgment and edge data center processing represent non-automatable tasks per Acemoglu & Restrepo's framework."
RPD,20.0,32,"Rapid7 provides cybersecurity solutions requiring real-time threat detection, mo"
BSY,10.0,38,Deep CAD/engineering software needs physics simulation
NTCT,10.0,32,"Deep network packet inspection, real-time DDoS mitigation"
TTD,20.0,32,"Real-time bidding, proprietary data, deep ad tech integrations"
BLKB,45.0,68,"CRM, fundraising, marketing tools are text-heavy tasks"
PAYC,20.0,52,HCM SaaS has text tasks but deep payroll/compliance integration
OKTA,10.0,35,"Security infrastructure, real-time auth, deep integrations"
TEAD,40.0,52,Content recommendation uses ML but needs real-time data
HUBS,55.0,72,CRM platform with text-heavy marketing/sales tasks
CSGS,20.0,42,Billing/monetization platforms need deep integrations
PEGA,55.0,52,"Low-code platform, AI decisioning partially replicable"
CRWD,10.0,28,"Real-time threat detection, proprietary AI, hardware agents"
TYL,20.0,62,Gov software with text/document/records focus
RNG,15.0,42,Real-time telecom infrastructure limits LLM utilization
VRSN,5.0,15,"Critical internet infrastructure, root servers, DNS"
NTNX,10.0,28,"Deep infrastructure/hypervisor software, hardware integration"
FDS,50.0,52,Financial data platform with proprietary content mix
VEEV,20.0,52,Life sciences cloud mixes documents with regulatory depth
CLVT,50.0,52,Data/analytics provider with proprietary IP databases
PTC,10.0,35,CAD/PLM/IIoT/AR require deep hardware integration
JKHY,10.0,35,"Deep core banking integration, proprietary data"
TDC,25.0,35,"Deep infrastructure/data platform, proprietary scale"
DBX,20.0,58,"File sync/storage core, but cloud infra less replicable"
